record_type,execution,case,m,DIRECT_HARDWARE,DERIVED_FROM_SINGLE_TEST,backend,job_id,shots,recomputed_accept_probability,recomputed_detection_probability,recomputed_wilson_95_low,recomputed_wilson_95_high,stored_probability,absolute_difference,composition_assumption
swap_test,Final,identical_plus_plus,2,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.9028711318969727,0.09712886810302734,0.07471376919314021,0.1255739530531731,0.0971288681030273,4.163336342344337e-17,analytical independent-identical composition from m=1 estimate
swap_test,Final,identical_plus_plus,4,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.8151762808129206,0.1848237191870794,0.14384539107923444,0.23537908842094568,0.1848237191870794,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Final,identical_plus_plus,8,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.6645123687999855,0.33548763120001446,0.2669992856237311,0.415354861576016,0.3354876312000144,5.551115123125783e-17,analytical independent-identical composition from m=1 estimate
swap_test,Final,orthogonal_0_1,1,YES,NO,ibm_fez,d9o655m44aac73f4s91g,1024,0.5537109375,0.4462890625,0.4160988592293742,0.4768807447202372,0.4462890625,0.0,direct m=1 hardware estimate
swap_test,Final,orthogonal_0_1,2,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.3065958023071289,0.6934041976928711,0.6590594578067618,0.7263462447555464,0.6934041976928711,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Final,orthogonal_0_1,4,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.09400098599235207,0.9059990140076479,0.8837595466889807,0.9251136222406087,0.905999014007648,1.1102230246251565e-16,analytical independent-identical composition from m=1 estimate
swap_test,Final,orthogonal_0_1,8,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.00883618536753437,0.9911638146324656,0.9864881570140488,0.9943920304260777,0.9911638146324656,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Final,orthogonal_plus_minus,1,YES,NO,ibm_fez,d9o655m44aac73f4s91g,1024,0.5419921875,0.4580078125,0.4277051857837779,0.48862432275864554,0.4580078125,0.0,direct m=1 hardware estimate
swap_test,Final,orthogonal_plus_minus,2,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.29375553131103516,0.7062444686889648,0.6724786456212198,0.738494916725946,0.7062444686889648,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Final,orthogonal_plus_minus,4,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.08629231217582856,0.9137076878241714,0.8927297624258895,0.9316150914218301,0.9137076878241714,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Final,orthogonal_plus_minus,8,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.007446363140650649,0.9925536368593494,0.988493096130794,0.9953235042787554,0.9925536368593494,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Final,fixed_overlap_F_0.25,1,YES,NO,ibm_fez,d9o655m44aac73f4s91g,1024,0.62109375,0.37890625,0.34969821809173185,0.40901943444920996,0.37890625,0.0,direct m=1 hardware estimate
swap_test,Final,fixed_overlap_F_0.25,2,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.3857574462890625,0.6142425537109375,0.5771075924469313,0.6507419711412683,0.6142425537109375,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Final,fixed_overlap_F_0.25,4,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.14880880736745894,0.8511911926325411,0.8211620116339692,0.8780188292777134,0.8511911926325411,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Final,fixed_overlap_F_0.25,8,NO,YES,ibm_fez,d9o655m44aac73f4s91g,1024,0.022144061150125502,0.9778559388498745,0.9680169739171914,0.9851205939892204,0.9778559388498744,1.1102230246251565e-16,analytical independent-identical composition from m=1 estimate
