attack,attack_scope,noise_parameter,lambda,trial,stage,records_ok,ideal_fidelity,effective_fidelity,accept_probability,sampled_accept,stage_accept,sampling_model
none,targeted,0.0,8,25,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,25,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,26,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,26,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,27,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,27,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,28,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,28,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,29,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,29,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,30,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,30,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,31,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,31,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,32,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,32,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,33,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,33,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,34,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,34,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,35,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,35,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,36,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,36,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,37,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,37,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,38,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,38,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,39,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,39,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,40,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,40,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,41,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,41,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,42,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,42,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,43,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,43,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,44,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,44,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,45,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,45,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,46,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,46,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,47,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
