engine,experiment,fidelity,m,shots,seed,logical_qubits,instance_circuit_count,transpiled_depth,accept_count,acceptance_probability,analytical_acceptance_probability,counts_json
qiskit-aer,explicit_independent_swap_test,0.5,4,16384,20260907,12,4,4,5243,0.32000732421875,0.31640625,"{""0000"": 5243, ""0001"": 1724, ""0010"": 1758, ""0011"": 580, ""0100"": 1706, ""0101"": 540, ""0110"": 573, ""0111"": 199, ""1000"": 1810, ""1001"": 583, ""1010"": 545, ""1011"": 210, ""1100"": 543, ""1101"": 169, ""1110"": 153, ""1111"": 48}"
qiskit-aer,explicit_independent_swap_test,0.5,8,16384,20260911,24,8,4,1708,0.104248046875,0.1001129150390625,"{""00000000"": 1708, ""00000001"": 542, ""00000010"": 542, ""00000011"": 181, ""00000100"": 566, ""00000101"": 208, ""00000110"": 176, ""00000111"": 54, ""00001000"": 548, ""00001001"": 159, ""00001010"": 168, ""00001011"": 54, ""00001100"": 191, ""00001101"": 58, ""00001110"": 60, ""00001111"": 17, ""00010000"": 567, ""00010001"": 183, ""00010010"": 185, ""00010011"": 61, ""00010100"": 173, ""00010101"": 69, ""00010110"": 65, ""00010111"": 23, ""00011000"": 207, ""00011001"": 66, ""00011010"": 60, ""00011011"": 20, ""00011100"": 55, ""00011101"": 26, ""00011110"": 20, ""00011111"": 6, ""00100000"": 593, ""00100001"": 184, ""00100010"": 176, ""00100011"": 75, ""00100100"": 176, ""00100101"": 52, ""00100110"": 52, ""00100111"": 18, ""00101000"": 181, ""00101001"": 58, ""00101010"": 61, ""00101011"": 24, ""00101100"": 66, ""00101101"": 19, ""00101110"": 21, ""00101111"": 7, ""00110000"": 185, ""00110001"": 57, ""00110010"": 52, ""00110011"": 15, ""00110100"": 74, ""00110101"": 12, ""00110110"": 16, ""00110111"": 4, ""00111000"": 70, ""00111001"": 29, ""00111010"": 26, ""00111011"": 10, ""00111100"": 13, ""00111101"": 10, ""00111110"": 9, ""00111111"": 2, ""01000000"": 518, ""01000001"": 176, ""01000010"": 177, ""01000011"": 49, ""01000100"": 179, ""01000101"": 63, ""01000110"": 53, ""01000111"": 23, ""01001000"": 192, ""01001001"": 66, ""01001010"": 65, ""01001011"": 17, ""01001100"": 67, ""01001101"": 24, ""01001110"": 17, ""01001111"": 6, ""01010000"": 162, ""01010001"": 49, ""01010010"": 61, ""01010011"": 29, ""01010100"": 65, ""01010101"": 21, ""01010110"": 15, ""01010111"": 8, ""01011000"": 60, ""01011001"": 20, ""01011010"": 16, ""01011011"": 6, ""01011100"": 17, ""01011101"": 5, ""01011110"": 8, ""01100000"": 168, ""01100001"": 56, ""01100010"": 59, ""01100011"": 20, ""01100100"": 55, ""01100101"": 24, ""01100110"": 19, ""01100111"": 7, ""01101000"": 57, ""01101001"": 20, ""01101010"": 23, ""01101011"": 6, ""01101100"": 23, ""01101101"": 5, ""01101110"": 7, ""01101111"": 2, ""01110000"": 58, ""01110001"": 19, ""01110010"": 17, ""01110011"": 9, ""01110100"": 20, ""01110101"": 4, ""01110110"": 8, ""01110111"": 2, ""01111000"": 14, ""01111001"": 5, ""01111010"": 7, ""01111011"": 1, ""01111100"": 7, ""01111101"": 1, ""01111110"": 2, ""01111111"": 1, ""10000000"": 509, ""10000001"": 194, ""10000010"": 174, ""10000011"": 61, ""10000100"": 185, ""10000101"": 63, ""10000110"": 69, ""10000111"": 21, ""10001000"": 170, ""10001001"": 55, ""10001010"": 50, ""10001011"": 15, ""10001100"": 72, ""10001101"": 24, ""10001110"": 21, ""10001111"": 2, ""10010000"": 169, ""10010001"": 76, ""10010010"": 68, ""10010011"": 22, ""10010100"": 51, ""10010101"": 21, ""10010110"": 24, ""10010111"": 6, ""10011000"": 68, ""10011001"": 18, ""10011010"": 20, ""10011011"": 8, ""10011100"": 13, ""10011101"": 5, ""10011110"": 6, ""10011111"": 2, ""10100000"": 202, ""10100001"": 60, ""10100010"": 65, ""10100011"": 23, ""10100100"": 53, ""10100101"": 18, ""10100110"": 16, ""10100111"": 10, ""10101000"": 68, ""10101001"": 20, ""10101010"": 18, ""10101011"": 5, ""10101100"": 18, ""10101101"": 9, ""10101110"": 8, ""10110000"": 69, ""10110001"": 19, ""10110010"": 23, ""10110011"": 8, ""10110100"": 14, ""10110101"": 12, ""10110110"": 6, ""10110111"": 1, ""10111000"": 22, ""10111001"": 9, ""10111010"": 4, ""10111011"": 1, ""10111100"": 6, ""10111101"": 6, ""10111110"": 1, ""10111111"": 2, ""11000000"": 164, ""11000001"": 53, ""11000010"": 54, ""11000011"": 18, ""11000100"": 80, ""11000101"": 21, ""11000110"": 23, ""11000111"": 9, ""11001000"": 74, ""11001001"": 11, ""11001010"": 16, ""11001011"": 6, ""11001100"": 16, ""11001101"": 11, ""11001110"": 6, ""11001111"": 1, ""11010000"": 59, ""11010001"": 23, ""11010010"": 17, ""11010011"": 6, ""11010100"": 14, ""11010101"": 3, ""11010110"": 6, ""11010111"": 2, ""11011000"": 18, ""11011001"": 7, ""11011010"": 8, ""11011011"": 1, ""11011100"": 13, ""11011101"": 1, ""11100000"": 52, ""11100001"": 17, ""11100010"": 17, ""11100011"": 9, ""11100100"": 24, ""11100101"": 6, ""11100110"": 5, ""11100111"": 5, ""11101000"": 21, ""11101001"": 7, ""11101010"": 2, ""11101011"": 1, ""11101100"": 11, ""11101101"": 7, ""11101110"": 8, ""11110000"": 20, ""11110001"": 7, ""11110010"": 5, ""11110011"": 1, ""11110100"": 7, ""11110101"": 1, ""11110110"": 3, ""11111000"": 9, ""11111001"": 3, ""11111010"": 4, ""11111011"": 2, ""11111100"": 3, ""11111101"": 2, ""11111110"": 1}"
qiskit-aer,explicit_independent_swap_test,0.75,1,16384,20260904,3,1,4,14366,0.8768310546875,0.875,"{""0"": 14366, ""1"": 2018}"
qiskit-aer,explicit_independent_swap_test,0.75,2,16384,20260905,6,2,4,12502,0.7630615234375,0.765625,"{""00"": 12502, ""01"": 1846, ""10"": 1784, ""11"": 252}"
qiskit-aer,explicit_independent_swap_test,0.75,4,16384,20260907,12,4,4,9708,0.592529296875,0.586181640625,"{""0000"": 9708, ""0001"": 1422, ""0010"": 1334, ""0011"": 172, ""0100"": 1343, ""0101"": 180, ""0110"": 182, ""0111"": 27, ""1000"": 1372, ""1001"": 192, ""1010"": 196, ""1011"": 33, ""1100"": 164, ""1101"": 27, ""1110"": 29, ""1111"": 3}"
qiskit-aer,explicit_independent_swap_test,0.75,8,16384,20260911,24,8,4,5676,0.346435546875,0.34360891580581665,"{""00000000"": 5676, ""00000001"": 792, ""00000010"": 807, ""00000011"": 117, ""00000100"": 814, ""00000101"": 106, ""00000110"": 122, ""00000111"": 12, ""00001000"": 812, ""00001001"": 111, ""00001010"": 118, ""00001011"": 20, ""00001100"": 125, ""00001101"": 18, ""00001110"": 15, ""00001111"": 1, ""00010000"": 807, ""00010001"": 111, ""00010010"": 100, ""00010011"": 17, ""00010100"": 121, ""00010101"": 13, ""00010110"": 13, ""00010111"": 7, ""00011000"": 114, ""00011001"": 18, ""00011010"": 8, ""00011011"": 4, ""00011100"": 22, ""00011101"": 4, ""00011110"": 2, ""00100000"": 812, ""00100001"": 105, ""00100010"": 109, ""00100011"": 20, ""00100100"": 128, ""00100101"": 16, ""00100110"": 7, ""00100111"": 1, ""00101000"": 108, ""00101001"": 19, ""00101010"": 20, ""00101011"": 2, ""00101100"": 14, ""00101101"": 4, ""00101110"": 2, ""00110000"": 130, ""00110001"": 18, ""00110010"": 21, ""00110011"": 4, ""00110100"": 12, ""00110101"": 3, ""00110110"": 2, ""00111000"": 19, ""00111001"": 2, ""00111010"": 3, ""00111110"": 1, ""01000000"": 836, ""01000001"": 111, ""01000010"": 115, ""01000011"": 16, ""01000100"": 97, ""01000101"": 12, ""01000110"": 13, ""01001000"": 104, ""01001001"": 16, ""01001010"": 19, ""01001011"": 3, ""01001100"": 22, ""01001101"": 2, ""01010000"": 122, ""01010001"": 13, ""01010010"": 11, ""01010011"": 2, ""01010100"": 13, ""01011000"": 16, ""01011001"": 2, ""01011010"": 2, ""01011100"": 1, ""01100000"": 115, ""01100001"": 11, ""01100010"": 19, ""01100011"": 2, ""01100100"": 18, ""01100101"": 1, ""01100110"": 2, ""01100111"": 1, ""01101000"": 12, ""01101001"": 3, ""01101011"": 1, ""01101100"": 3, ""01101101"": 1, ""01101110"": 1, ""01110000"": 23, ""01110001"": 2, ""01110010"": 2, ""01110100"": 3, ""01110110"": 2, ""01111000"": 3, ""01111100"": 2, ""10000000"": 798, ""10000001"": 92, ""10000010"": 109, ""10000011"": 20, ""10000100"": 113, ""10000101"": 23, ""10000110"": 14, ""10000111"": 4, ""10001000"": 112, ""10001001"": 14, ""10001010"": 22, ""10001011"": 2, ""10001100"": 12, ""10001101"": 1, ""10001110"": 1, ""10001111"": 1, ""10010000"": 104, ""10010001"": 20, ""10010010"": 16, ""10010011"": 3, ""10010100"": 13, ""10010101"": 3, ""10010110"": 2, ""10011000"": 14, ""10011001"": 4, ""10011010"": 3, ""10011011"": 2, ""10011100"": 4, ""10100000"": 108, ""10100001"": 18, ""10100010"": 23, ""10100011"": 1, ""10100100"": 22, ""10100110"": 4, ""10101000"": 17, ""10101001"": 1, ""10101010"": 5, ""10101100"": 1, ""10101110"": 2, ""10110000"": 17, ""10110001"": 3, ""10110010"": 2, ""10110100"": 2, ""10111000"": 1, ""11000000"": 107, ""11000001"": 20, ""11000010"": 12, ""11000011"": 2, ""11000100"": 16, ""11000110"": 1, ""11001000"": 13, ""11001001"": 2, ""11001010"": 2, ""11001100"": 2, ""11001101"": 1, ""11001110"": 1, ""11010000"": 16, ""11010001"": 2, ""11010010"": 7, ""11010100"": 2, ""11010101"": 1, ""11011000"": 2, ""11100000"": 20, ""11100001"": 1, ""11100010"": 5, ""11100011"": 2, ""11100100"": 2, ""11100101"": 1, ""11101000"": 5, ""11110000"": 2}"
qiskit-aer,explicit_independent_swap_test,0.9,1,16384,20260904,3,1,4,15565,0.95001220703125,0.95,"{""0"": 15565, ""1"": 819}"
qiskit-aer,explicit_independent_swap_test,0.9,2,16384,20260905,6,2,4,14809,0.90386962890625,0.9025,"{""00"": 14809, ""01"": 780, ""10"": 762, ""11"": 33}"
qiskit-aer,explicit_independent_swap_test,0.9,4,16384,20260907,12,4,4,13389,0.81719970703125,0.8145062499999999,"{""0000"": 13389, ""0001"": 693, ""0010"": 702, ""0011"": 37, ""0100"": 730, ""0101"": 34, ""0110"": 38, ""0111"": 2, ""1000"": 668, ""1001"": 32, ""1010"": 34, ""1011"": 1, ""1100"": 23, ""1110"": 1}"
qiskit-aer,explicit_independent_swap_test,0.9,8,16384,20260911,24,8,4,10860,0.662841796875,0.6634204312890623,"{""00000000"": 10860, ""00000001"": 580, ""00000010"": 550, ""00000011"": 35, ""00000100"": 579, ""00000101"": 26, ""00000110"": 36, ""00000111"": 2, ""00001000"": 572, ""00001001"": 23, ""00001010"": 31, ""00001100"": 35, ""00001101"": 4, ""00001110"": 4, ""00010000"": 595, ""00010001"": 38, ""00010010"": 35, ""00010100"": 42, ""00011000"": 27, ""00011001"": 2, ""00011010"": 2, ""00011100"": 2, ""00100000"": 607, ""00100001"": 30, ""00100010"": 26, ""00100011"": 3, ""00100100"": 21, ""00100101"": 2, ""00100110"": 2, ""00101000"": 32, ""00101001"": 3, ""00101010"": 4, ""00101100"": 4, ""00110000"": 29, ""00110001"": 1, ""00110010"": 1, ""00110100"": 2, ""00110110"": 1, ""00111000"": 1, ""00111001"": 1, ""00111010"": 1, ""01000000"": 531, ""01000001"": 33, ""01000010"": 35, ""01000011"": 1, ""01000100"": 25, ""01000101"": 1, ""01000110"": 2, ""01001000"": 39, ""01001100"": 3, ""01001110"": 1, ""01010000"": 28, ""01010010"": 1, ""01010011"": 1, ""01010100"": 1, ""01011000"": 3, ""01100000"": 26, ""01100001"": 1, ""01100100"": 1, ""01101000"": 1, ""01110000"": 2, ""10000000"": 575, ""10000001"": 37, ""10000010"": 30, ""10000011"": 2, ""10000100"": 28, ""10000101"": 2, ""10000110"": 2, ""10001000"": 27, ""10001010"": 1, ""10001100"": 1, ""10010000"": 15, ""10010001"": 2, ""10010010"": 1, ""10011000"": 3, ""10100000"": 27, ""10100100"": 1, ""10101000"": 1, ""10110000"": 3, ""10111001"": 1, ""11000000"": 22, ""11000001"": 2, ""11000010"": 2, ""11000100"": 3, ""11001000"": 3, ""11001001"": 1, ""11010000"": 2, ""11100000"": 3}"
