attack,attack_type,theta_radians,message_state,x1_operator,fidelity_F_G,m,acceptance_probability,detection_probability,uses_orthogonal_2_to_minus_m_special_case
Rz(0.01),near-identity rotation,0.01,+,X,0.9999750002083329,1,0.9999875001041665,1.2499895833517627e-05,False
Rz(0.01),near-identity rotation,0.01,+,X,0.9999750002083329,2,0.9999750003645803,2.499963541968686e-05,False
Rz(0.01),near-identity rotation,0.01,+,X,0.9999750002083329,4,0.9999500013541425,4.999864585752967e-05,False
Rz(0.01),near-identity rotation,0.01,+,X,0.9999750002083329,8,0.9999000052081496,9.999479185041071e-05,False
Rz(0.01),near-identity rotation,0.01,+,X,0.9999750002083329,16,0.9998000204152575,0.00019997958474249344,False
Rz(0.01),near-identity rotation,0.01,+,X,0.9999750002083329,32,0.9996000808223492,0.0003999191776508093,False
Rz(0.01),near-identity rotation,0.01,+,X,0.9999750002083329,40,0.9995001260203336,0.0004998739796664431,False
Rz(0.05),near-identity rotation,0.05,+,X,0.9993751301974833,1,0.9996875650987416,0.0003124349012584293,False
Rz(0.05),near-identity rotation,0.05,+,X,0.9993751301974833,2,0.9993752278130507,0.0006247721869493406,False
Rz(0.05),near-identity rotation,0.05,+,X,0.9993751301974833,4,0.998750845966387,0.0012491540336130313,False
Rz(0.05),near-identity rotation,0.05,+,X,0.9993751301974833,8,0.9975032523185736,0.002496747681426381,False
Rz(0.05),near-identity rotation,0.05,+,X,0.9993751301974833,16,0.9950127383861318,0.004987261613868199,False
Rz(0.05),near-identity rotation,0.05,+,X,0.9993751301974833,32,0.9900503495506688,0.00994965044933116,False
Rz(0.05),near-identity rotation,0.05,+,X,0.9993751301974833,40,0.9875784436359326,0.012421556364067388,False
Rz(0.1),near-identity rotation,0.1,+,X,0.9975020826390132,1,0.9987510413195066,0.0012489586804933506,False
Rz(0.1),near-identity rotation,0.1,+,X,0.9975020826390132,2,0.9975036425367989,0.002496357463201093,False
Rz(0.1),near-identity rotation,0.1,+,X,0.9975020826390132,4,0.9950135168741819,0.004986483125818064,False
Rz(0.1),near-identity rotation,0.1,+,X,0.9975020826390132,8,0.9900518987623279,0.009948101237672091,False
Rz(0.1),near-identity rotation,0.1,+,X,0.9975020826390132,16,0.9802027622428907,0.019797237757109287,False
Rz(0.1),near-identity rotation,0.1,+,X,0.9975020826390132,32,0.9607974551085927,0.03920254489140729,False
Rz(0.1),near-identity rotation,0.1,+,X,0.9975020826390132,40,0.9512393447562745,0.048760655243725526,False
Rz(0.2),near-identity rotation,0.2,+,X,0.9900332889206211,1,0.9950166444603106,0.004983355539689427,False
Rz(0.2),near-identity rotation,0.2,+,X,0.9900332889206211,2,0.990058122753056,0.009941877246943953,False
Rz(0.2),near-identity rotation,0.2,+,X,0.9900332889206211,4,0.9802150864293054,0.019784913570694562,False
Rz(0.2),near-identity rotation,0.2,+,X,0.9900332889206211,8,0.9608216156636107,0.039178384336389316,False
Rz(0.2),near-identity rotation,0.2,+,X,0.9900332889206211,16,0.9231781771264312,0.07682182287356876,False
Rz(0.2),near-identity rotation,0.2,+,X,0.9900332889206211,32,0.8522579467224807,0.14774205327751933,False
