scenario,lambda_parameter,p1_physical_copies,p2_physical_copies,p3_physical_copies,total_message_copies,noise_parameter,noise_model,trials,seed_base,execution_model,physical_comparisons_per_reached_stage,s5_sample_without_replacement,s7_sample_without_replacement,analytical_final_acceptance,monte_carlo_final_acceptance,monte_carlo_s5_batch_acceptance,monte_carlo_s7_batch_acceptance,s7_reached_rate,analytical_s5_batch_acceptance,analytical_s7_batch_acceptance,false_reject_rate,undetected_attack_rate,mean_s5_fidelity,mean_s5_effective_fidelity,mean_s7_fidelity,mean_s7_effective_fidelity
honest,8,17,8,8,33,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.8176993805961187,0.8225,0.90675,0.8225,0.90675,0.9042673170009622,0.9042673170009622,0.1775,N/A,1.0,0.9749999999999998,1.0,0.9749999999999999
alice_scenario_1,1,3,1,1,5,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N/A,1.0,1.0,1.0,1.0,1.0
alice_scenario_1,2,5,2,2,9,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N/A,1.0,1.0,1.0,1.0,1.0
alice_scenario_1,4,9,4,4,17,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N/A,1.0,1.0,1.0,1.0,1.0
alice_scenario_1,8,17,8,8,33,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N/A,1.0,1.0,1.0,1.0,1.0
alice_scenario_1,1,3,1,1,5,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.990025,0.989,0.99625,0.989,0.99625,0.995,0.995,N/A,0.989,1.0,0.9900000000000001,1.0,0.9900000000000001
alice_scenario_1,2,5,2,2,9,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.9801495006250001,0.979,0.988,0.979,0.988,0.990025,0.990025,N/A,0.979,1.0,0.9900000000000001,1.0,0.9900000000000001
alice_scenario_1,4,9,4,4,17,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.9606930435754367,0.9645,0.98275,0.9645,0.98275,0.980149500625,0.980149500625,N/A,0.9645,1.0,0.9900000000000001,1.0,0.9900000000000001
alice_scenario_1,8,17,8,8,33,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.9229311239742362,0.9285,0.96525,0.9285,0.96525,0.9606930435754368,0.9606930435754368,N/A,0.9285,1.0,0.99,1.0,0.9900000000000001
alice_scenario_1,1,3,1,1,5,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.9751562500000001,0.9705,0.9885,0.9705,0.9885,0.9875,0.9875,N/A,0.9705,1.0,0.9749999999999998,1.0,0.9749999999999999
